 id;title;score
 133002;The Myth of A Listers and Influencers;4
 132607;Stanford professor Lawrence Lessig hates corruption;1
 132646;So, What Does "HREF" Stand For, Anyway?;3
 132843;Ask YC:  How can I compete with someone who has a life story like this and who donates 50% of profits to charities?;1
 132934;Hacked: Top 10 security mistakes;5
 132979;Ask YC:how do you do Sessions on EC2?;4
 133031;Register your Domain through Google and get instant Google apps ;3
 133090;An Introduction to NSM-Console;2
 132614;Ask YC: Entrepreneurship Summer Program?;1
 132634;Case studies of Linux deployments in high schools around the world;1
 132741;An elusive billionaire gives away his good fortune;29
 132768;Monday: Paramount to release thousands of film clips on Facebook;2
 132871;Paul McCartney Signs $400 Million iTunes Deal For The Beatles Catalog;3
 132915;Instance variables, class variables, and inheritance in Ruby;1
 132670;What Are You Destined to Be?;2
 132696;Startup Advice Weekend;5
 132826;Finding Startup Co-Founders DON'T;14
 132854;Is Web 2.0 Sustainable?;1
 133056;AP probe finds drugs in drinking water ;2
 133260;20 Websites That Made Me A Better Web Developer;39
 132695;(Javascript) Performance is Everything;17
 132718;serious hacking request. How to track an online psycho-stalker-impersonator?;1
 132900;Is it a Leap Year?!;3
 132673;SXSW: 7 Fake Startups Compete for 'Worst Website Ever';3
 132675;Major Update to [Mozilla] Prism, First Prototype of Browser Integration;16
 132778;When is the right time to "ship" your product?;2
 132901;Git's Killer Feature (why it's better than Mercurial);17
 132704;Karma Hack - Encourage the creation of interesting content;15
 132705;Street Cred;1
 132829;Journalist becomes the story at Mark Zuckerberg SXSWi keynote;29
 132762;Ask YC: what should I do about a psycho-stalker-impersonator on my blog?;4
 132809;People testing NGINX;2
 132873;Creating a web startup functionality in a department in a big corporation?;2
 132910;SXSW: Web Awards Winners;2
 132911;Lessons Learned Running a Software as a Service (SaaS) Business;14
 132912;Meet Kyte: This Year's Twitter;2
 132925;How This Economy Is Going To Play Out;4
 133063;YC Startup MightyQuiz: Stump Strangers with Your Arcane Knowledge;29
 133065;Travel 2.0? Hands on with Zicasso, a great first attempt;1
 133099;My 10 “Un-Tips” for Starting-Up Right;1
 132849;The Future of the Net (and how to stop it);1
 133045;Clinton to upset Obama?;2
 133052;My Biggest Lisp Project ;17
 133081;Directing the Future;1
 133094;Girls and young women are now the most prolific web users;14
 133187;A collection of successful startups and their teenage founders ;4
 133219;Challenge to Boston Mobile Developers: Show Us Your iPhone Apps;1
 132825;Britain makes camera that 'sees' under clothes;1
 133084;The Most Beautiful Computers of all Time;2
 133109;From palmtops to brain cells;2
 133150;Interview: Ray Ozzie, Chief Software Architect @ Microsoft;3
 133046;13 + 1 Tips for Aspiring Entrepreneurs. Be Aware of the Entrepreneurial Context You are Living In.;3
 133051;The Java Proportionality;1
 133124;Zuckerberg SXSW Interactive keynote (disaster);2
 133156;CSS-Tricks Video Screencasts;1
 133227;Arc: I/O;1
 133325;Can Liberal Arts Colleges Be Saved?;9
 133331;IT labor shortage is a myth;3
 133384;BitNami releases JRubyStack;1
 133710;Your call is important to us;2
 132786;Digg Users Are Doing Their Best To Kill An Acquisition;11
 132877;In Response to “What Sucks About Erlang”;20
 132931;Op-Ed: The Con of the Information Age;2
 132982;Transform Your Website Into a Sales Powerhouse;1
 132897;Bruce Schneier on Dual Use Technologies [video];1
 132899; Threading In Ruby;14
 132969;Microsoft wary on Yahoo integration;1
 132984;Spirit of the Entrepreneur;1
 132985;Ask YC: how is SimpleDB?;6
 132987;if someone will pay for what u have, it might be valuable;1
 132988;ThruDB accelerate aws.S3 or other cross system calls;1
 132989;Why FriendFeed is the next big thing;2
 133126;11 Must Have Firefox Extensions (programmer heavy);1
 133128;Ask YC: What Is Your Favorite Board Game?;16
 133129;xkcd - Kilobyte;18
 133131;Congrats nickb hitting 10K karma today;34
 133361;Black Google;1
 133433;Einstein Versus the Physical Review;15
 132841;Levy: Gone, Without a Trace ;6
 132883; Explaining garbage collection;4
 132940;Software that makes software better;4
 133190;RTMP is patented by Adobe?;1
 133089;Hell has no fury like a Twitter-er Scorned ;4
 133169;Ask YC: raising angel funding in London;2
 132967;Are We In A Recession Right Now?;2
 132972;Why Apple Will Dominate Next Gen Computing;14
 133058;Patent raid at German tech fair;3
 133136;Socialthing;1
 133165;The pendulum swings;8
 133222;W3C Semantic Web FAQ;1
 133562;Mahaloism 1.0;1
 133563;How to Run Digsby in linux with wine;1
 133566;New Global Search Engine;3
 132983;Sara Lacy speaks out after criticized Mark Zuckerberg interview;8
 132995;How to plan humble user-centric web application?;2
 133262;MySQL InnoDB Clustered Indexes and Rails (or How RescueTime Avoided Buying More Hardware);48
 133625;Would you friend your parents on Facebook?;6
 133638;How to make time for personal goals;3
 133719;Why web frameworks are a bad thing, part 1: MVC ;7
 133055;Are .NET developers the American tourists of the software industry?;40
 133059;Watch out FriendFeed - SocialThing! Is Even Easier To Use;11
 133067;Dropping 22TB of patches on 6,500 PCs in 4 hours: BitTorrent;6
 133122;Lacy Responds to Zuckerberg Keynote Disaster;1
 133143;Duby: A Type-Inferred Ruby-Like JVM Language;2
 133192;New Internet Meme - Zuckerbucks;15
 133271;What microloans miss;8
 133123;PMOG;12
 133349;Ask YC: Recommendations on how to make demo video (60 sec tour) for our starup?;12
 133513;Social networks are like the eye: A Talk with Nicholas A. Christakis;2
 133012;Lisp Flavoured Erlang released;1
 133078;The making of... Japan's First RPG;1
 133289;Saving Face(book): When do you hire a pro CEO?;5
 133074;The conundrum of self promotion and social media;4
 133157;Jsure, a static Javascript analyzer, checks syntax, catches undeclared variables and bad regexes.;4
 133249;BBC's free, wavelet-based Dirac codec released;3
 133276;Nixon, pretending to be crazy, sent 18 planeloads of real nuclear bombs to USSR;4
 133314;BioRuby and Ruby on Rails: Active BioRecords;1
 138122;Programming Poker AI;2
 133103;Sifting the data on Web audiences;2
 133568;Why Rails rules: continuous forward motion;2
 133216;Simple Metaprogramming logger with graph generation;2
 133282;Story of the Mach 3.18 breakup of an SR-71 Blackbird;49
 133317;Notes On Using EC2 and S3;5
 133231;Smartphones May Be Able To Capture URLs Anywhere;2
 133252;Wikipedia running out of money - resists selling ads;9
 133440;Little Known Hacker News Is My First Read Every Morning;96
 133159;A Mac OS X-style Dock In JavaScript;28
 133163;India's wages surge but risks multiply;2
 133308;Kata and practice;1
 133251;A Simple Strategy for Start-Ups to Kick Fortune-500-Butt;4
 133265;Entrepreneurial Personality Test;1
 133616;Add Page Numbers to Google Docs;2
 133404;The "No Laptop" Meeting Rule;8
 133436;Open source Flash player in beta;14
 133587;GPL vs startups;1
 138918;Chatwo - another ajax powered chatroom?;1
 133294;Why we disagree with Don Norman;66
 133430;A New Venture Animal;106
 133431;Game Trees and Totally Finite Games;2
 133453;Hacker News Site Guidelines;177
 133488;Pretty Interesting Stuff;1
 133515;What do you do to attract more women to work at your startup?;3
 133695;Microsoft’s New Play for Linux Lovers;3
 133278;Ex-Googler Launches Search Engine Community, Topicle;10
 133342;Taffy - an in memory JavaScript database;13
 133359;Ask YC: What do you do if American economy enters a downturn?;11
 133373;Chuck Norris the only WMD in Iraq;1
 133280;C++ Coder’s Newbie Guide to Lisp-style OO;5
 133304;'Monstrous' robot going up on space station;3
 133350;Why Rails will Reign Supreme;8
 133397;Mark Cuban: We Live in an "Open Book" World, the Lie of Information Overload;1
 133618;3 suggestions to help with the increasing popularity of HN;2
 133659;Gary Gygax D&D Obit;14
 133299;IPhone SDK: You must run Xcode in 32-bit mode;1
 133405;Game Loop;6
 133406;Sorting At Speed;3
 133610;Mind Blowing South African Trip;1
 133641;Ask YC: startup valuation;1
 133759;Mark Cuban's rules for startups;3
 133775;Recommendations for email programs;1
 133795;The Really Terrible Orchestra;2
 133797;Taffy DB : A JavaScript database for your browser;4
 133896;Life lessons from Client #9;2
 133920;Let's block all referrals from TC;8
 133969;YC: There should be a way to prevent reposts;11
 133356;Bigger Computer Monitors = More Productivity;27
 133532;US to approve OOXML for ISO standard;1
 133494;Transparent PNGs can Deadlock IE6;4
 133527;Microsoft wants to freeze the Vista incapable lawsuit ;1
 133528;Does Daylight Saving save energy?;1
 133419;Poll: When is a startup successful?;1
 133480;Where and how to find founding hackers for generous equity?;1
 133481;Study: depressed turn to blogging as coping mechanism;1
 133510;New Project: Newshoured - Local News Without Fuss;2
 133685;Google shares could fall another 20%? $350? ;3
 133682;CastTV - Hiring Hackers: Fascinated by machine learning, web crawling, and search?;2
 133583;Mark Zuckerberg on Data Portability: An Interview;2
 133589;Architecture as a Language;1
 133645;Nicco says: Google = Evil;2
 133784;Ask YC: Recommend a Web Based Scheduling Software;7
 133877;William Feather on "Perseverance Rewarded";1
 134092;CIOs and the Marketing of IT;1
 133489;TC Slows Hacker News - Start the Arc can't scale rants.;12
 133665;Google Mashup Editor;1
 133961;Coursework;1
 133962;News Corp Gives Up The Fight For Yahoo;3
 133998;Gcse Coursework;1
 133543;Ask HN: Does anyone here play golf?;2
 133557;Ask YC: Widgets vs Plugins ?;2
 133684;Behind the Scenes at Xobni;14
 133701;Scoble Interviews Scribd CEO;7
 133715;HTTP, the protocol that most (web) frameworks try to pretend doesn’t exist.;7
 133772;Like Twitter, Chatterous offers instant chat;11
 133782;Should You Hire Workaholics For Your Startup?;3
 133835;InLine - a 100% Ruby solution for console inline editing;5
 133552;Sarah Lacy, SXSW, And The Art Of The Interview;3
 133586;Snakes in the Morning (how to get an edge on anything Americana);1
 133629;2nd Gen Asus Eee - New LCD Screen LED Backlit?;1
 133831;When to incorporate;3
 133841;Four Social Media Lessons from SXSW's Mark Zuckerberg Interview ;2
 133827;The 7 dirtiest jobs in IT;11
 133840;Google Focused Linux PC’s Fail At Wal-Mart;5
 133612;Ask YC: What have you learned that rocked your world?;42
 133619;Looking for co-founder - r u a hacker?;1
 133633;How Google keeps your information secure;7
 133688;"Open in TextMate" from Leopard Finder;3
 133713;Real-Time Raytracing;6
 133727;Ask YC: What is your favourite paradox?;30
 133707;Software bugtraps;1
 133938;Aperture 2.0: the Ars Technica review;1
 134093;The 'Dogpile Effect' and how to avoid it with RoR memcache-client patch;5
 134148;Skribit In Open Beta;7
 133778;Raising Obama: Politics & Power;1
 133808;Mysterious slowness fixed.  Sorry about that.;19
 133817;LittleEngine: Small Business Social Network;1
 133834;Magpul Flashlight Gun Transformer Concept [flash movie];3
 133838;The Fight for the Second Click;1
 133983;Google's second click versus Facebook's second click;28
 140787;Should Mac Users Run Antivirus Software?;2
 133693;Ask: what the hell is service-oriented architecture?;2
 133959;Avoiding the Fark Effect;4
 133968;4 Technologies for Portability in Social Networks;4
 133973;Ask YC: What's the best virtual hosting for a development stage startup?;8
 133974;Meebo Just May Be This Year's Twitter;5
 134190;"Algorithms for programmers" full text;44
 133859;David Mandelin needs a theorem prover;4
 134032;Query anything with SQLight - virtual tables make powerful features;2
 133731;Should I open up alpha or wait until full(er)-featured beta?;14
 134126;Thesis Writing Service;1
 134152;101 Useful Resources for Online Entrepreneurs;4
 134247;Ask PG: What's the traffic effect here from the TechCrunch mention?;49
 133812;8 Premium One Line Css Tips;3
 133845;Great Ideas in Theoretical Computer Science;4
 133847;Boston Startup Does 3D Photo Sharing from the Desktop;2
 133849;Ask YC:  Do you know of any web 2.0 sites where most users are computer illiterate?;6
 134179;News Corp.'s Murdoch rules out bid for Yahoo / But open to some kind of deal;1
 133735;Odd Behavior And Creativity May Go Hand-in-hand;15
 133809;OLPC XO to Run Windows in 60 Days or Less;3
 133935;outerz0ne - two weeks;3
 134085;The Uncanny Valley;2
 134086;music distribution without industry or commercialism;1
 134089;Realistic expectations for making money in your startup business [podcast];1
 134208;What slashdot learned about moderation systems (buried in the faq);3
 134332;Ask Public:: Does Google remove websites from search?;1
 134414;How to Build a Mobile Office and Work From Anywhere;3
 133842;VOVO brand new travel social network FIRST LOOK!;1
 133872;We're trying Chatterous tonight;4
 133949;123 Matrimonials: India Matrimonial & Indian Matrimony;1
 133786;Reactable demo (synthesize and perform electronic music in real time) [video];6
 133932;Google I/O;2
 133946;Threads;1
 133966;Google: Finding the Bottom. $350? Less?;2
 133905;Little Known Hacker News Is Boring As Hell;10
 133927;A Cure for Fat Fingers;3
 133964;Mark Zuckerberg/ Sarah Lacy Interview From SXSW;1
 134070;Ask HN: how to be a VC?;7
 134104;European Enterpreneurs;2
 134142;Demo of Jeff Raskin's Zoom World user interface [links to video] ;2
 134176;Google Analytics Fun;4
 134242;Good Analytics Can Get You Booty;3
 134248;Designing "in the pocket";3
 134025;Top 10 algorithms [pdf];5
 134027;New Promissing ecard website;1
 134234;Shredz64: Guitar Hero on the Commodore-64;1
 134236;HTTP-Headers Status Diagram;59
 133832;Flying Planes by Day, Yoking Video Feeds by Night;1
 133907;Your call is important to us;3
 133930;Southern Baptists believe in global warming now.;1
 133939;Full Linux Alternative to Exchange Server;3
 134153;10 Rules For Startups by Misanthropy Today;4
 134154;Implementing a Graphic Driver Abstraction;1
 134155;Ruby SimpleConsole - Building Console Apps;1
 134182;ProtoFlow: coverflow widget for Prototype;1
 134285;20% Of Valley Startups Can’t Get To Their Cash;31
 134351;Warm fuzzy things for random simulations;5
 134515;Twine Disappoints After Semantic Web Hype;8
 134525;A New Venture Animal;1
 133965;CNET is best acquirer of Digg;1
 134045;Imindi: Web 3.0 App to Expand our Minds;1
 134090;Dear Ray Ozzie: IE8 Can't handle Windows Live;3
 134091;India Nurtures Business of Surrogate Motherhood;1
 134128;Classified ads for raising capital;9
 134138;Former chief scientist claims Wikipedia's Jimmy Wales traded Wiki edits for donations;2
 134237;Google buy of DoubleClick cleared by EU;1
 134051;IBM/ISS X-Force 2007 Stats.  This ain't gettin' better soon.;2
 134250;Do the Test;1
 134258;MyVox API Released, add voice to any Web 2.0 app;1
 134293;Sun aquires VirtualBox ;15
 134443;Beautiful origami from a leading theorist of origami math.;3
 134466;Nerdfotainment;8
 133978;Ask YC: Voting Karma;36
 134016;Ask YC : startups from India;4
 134079;Hipsip: Skype and SIP calls from your mobile phone;2
 134109;NYT: Crowd Sourced Film Production;1
 134268;Always Refer to Your V1 As a Prototype;10
 134132;Creating Snapshot-Backups with BackerUpper On Ubuntu 7.10;1
 134165;Gone, Without a Trace;3
 134171;Wide Awake Developers: Steve Jobs Made Me Miss My Flight;10
 134295;Sharing a public Git repo over HTTP [flow chart];2
 134309;Controller - an event delegation library;2
 134311;Derivatives the new 'ticking bomb';5
 134325;Announcing Google I/O: A two day developer gathering in SF;6
 134326;Consume non rails-style REST API's;2
 134338;3D pannable video - Click and drag to pan the camera around;6
 134377;Natural language considered harmful;15
 134383;There’s only one workaholic here . . . me!;1
 134386;An iPhone interface for Hacker News;45
 134011;Text it before you forget it with KWIRY;2
 134253;Lessons Learned Running a Software as a Service (SaaS) Business;3
 134254;Chemical brain controls nanobots;1
 134259;Where Every Ad Knows Your Name ;6
 134260;Mozilla's new Prism brings websites to the desktop;7
 134318;Widescreen Monitors Can Save Companies $8,600 Per Employee, Per Year;34
 134399;Team Whiteboarding with Twiddla;1
 134512;Matrix: Simulating the World with cellular automata;7
 134169;iPhone no match for Windows Mobile on Exchange features;1
 134256;AJAX Solitaire;1
 134281;Managing Information Streams;1
 134282;Ask YC: Are Americans forgetting the rest of the world?;5
 134328;Bringing OpenID To The Masses: Clickpass (YC summer 07);87
 134329;New Beta 4 Puts the Fire Back in Firefox 3;4
 134337;World of Warcraft is completely down;2
 134094;Android: Liberté, égalité, fraternité;1
 134115;The man who owns the Internet;1
 134116;The n Habits of Highly Defective Windows Applications;7
 134131;Pace of Change Too Slow to Keep Entrepreneurs in France;11
 134139;Wayward Medical Records sold as scrap paper for $20;2
 134197;How Smart Is Your State? US States Ranked by Patents per Million People;9
 134333;Virtualization Benchmarking;1
 134344;The irony of FOSS project's Windows support;4
 134035;Mono (.NET Framework) runs on the iPhone;11
 134228;How to spread awareness about World IT Day?;2
 134291;SearchMe Launches New Search Engine With Heavy Backing From Sequoia;10
 134331;Alertle - Simplified and Customizable RSS reading;2
 134188;Did Arrington Just Kill YC News?;3
 134196;Ask PG: I keep nearly deleting my comments, fix?;1
 134224;Ask YC: How to create enough content for launch?;9
 134225;Finally, EU approves Google's buy of DoubleClick;5
 134240;Is the Net Too Neutral?;2
 134252;Guy Kawasaki launches Alltop, an "online magazine rack";19
 134471;Credit Crunch Hits Start-ups;2
 134527;Powerset releases HBase - Open source version of Google's BigTable;7
 134544;Segway: the product that changed the world;2
 134609;Qoof Launches iBeg App for Facebook - Watch Videos of facebookers begging for prizes;1
 134321;Physics, topology, logic and computation: a Rosetta Stone;2
 134430;Job Loyalty in Valley? Not Unless You're Retired;1
 134464;Join the News.YC group on Chatterous;24
 134694;Portable contact lists and the case against XFN;2
 134696;Six Apart Takes Aim At Wordpress Users;2
 134717;Mark Zuckerberg, Facebook - From Harvard to the Facebook (Ed Corner);3
 134854;Testing Hacker News/Scribd iPaper integration;23
 134390;A Guide to New England Angel Groups—The List;1
 134405;Dropbox launches (YC summer 07);133
 134460;Everytime I Think About You I Multitouch My Cell;1
 134479;Boot$trapping: ‘Spend it’ Like Dell & Newmark ;1
 134480;Taffy: A database in JavaScript;14
 134508;U.S. In-flight Broadband Is A-gogo by Spring;1
 134255;What Startups Don’t Need to Spend Money On;1
 134296;Fastest growing venture markets: New Mexico, Pittsburgh, Seattle, LA, DC;3
 134380;Warren Buffett: $516 trillion bubble is a disaster waiting to happen;22
 134417;Web Mission '08 - UK Startups to visit Silicon Valley;1
 134664;Forget BFF. Try Rivals4Ever.;1
 134671;France gives US$92 M in funding to create design-by-committee Google competitor;1
 134698;Drop It Like It’s DropBox;3
 134848;Iterative Filtering for a Dynamical Reputation System;1
 134850;When are recommender systems useful?;2
 134933;Everything you always wanted to know about HTTP headers status, but were afraid to ask;1
 134270;The Hundred Greatest Theorems;7
 134463;Hostility Has Its Rewards: Hostile Acquisitions in SV;2
 134509;Utu: Zed Shaw's replacement for http;23
 134611;Ask YC: Providing Hosting Services?;6
 134272;The same folks who brought you Mighty Morphin Power Rangers want to fund your digital media startup.;3
 134347;Where on the earth we are?why people have ego,when they are just nothing!;1
 134388;Tilton's Law - solve the first problem first;29
 134389;Get Back to Your Mac Without Paying for It;1
 134458;Employee Referral Bonus Jackpots: 15 Companies with Awesome New-Hire Incentives;2
 134482;Identical twins do not have identical DNA;3
 134305;Pi Corp and Credentica, 2 Zero-knowledge spin-off startups acquired;3
 134322;Marvin Minsky: What makes Mathematics hard to learn?;29
 134339;Announcing (Formally) Alltop;4
 134474;Help Fund A Ruby Developer To Work On Open Source For 6 Months;1
 134496;Internet Fanboyism at the SXSW Interactive Conference (comic);3
 134560;Ask YC: Do you believe social networks have a lock on their users?;1
 134562;Firefox 3 Beta 4 is 5x faster than IE7, 3x faster than FF2;7
 134510;Starling — Unicode string library for Erlang;6
 134540;Middle America Rejects Wal-Mart Linux Experiment;1
 134541;Inform 7: An adventure game programming system based on natural language;2
 134553;A New Venture Animal;1
 134354;FeedBurner Introduced a New Service to Transfer Feeds Between Accounts;2
 134433;Google officially acquires DoubleClick;10
 134612;N.Y. Times CEO: Online Growth an "absolute priority" ;2
 134355;EU clears Google-Doubleclick deal;1
 134634;Cacau Freire;1
 134667;Hard Lessons For Entrepreneurs - Why We Fail;15
 134440;Ruby + Google Sitemaps == Easy way to get the google love you deserve;2
 134449;Valve: "Integrating Narrative and Design: A Portal Post-Mortem," GDC, February 2008. Slides [pdf];2
 134489;Guy Kawasaki Formally Launches Alltop. Wow, It’s Bad.;4
 134490;Worst unionized teacher contest - winners offered $10K to quit;3
 134396;Privacy and Power;3
 134448;A CC license for mashups: "... They're graphics, you can't use traditional software licensing rules";3
 134409;Forbidden Fruit - Is the Government Against Local Food?;1
 134445;sympy 0.5.13 released;1
 134576;FriendFeedFeed - Aggregate all your social networking aggregator feeds;3
 134577;Linux Laptops: Despite Minor Annoyances, They're Improving;2
 134704;11 Cloud Computing Vendors to Watch (Forrester);2
 134835;WordPress 2.5 is near release (and MoveableType sucks);2
 134871;Short interactive Python puzzle. Did you solve it before the end?;4
 134630;Seven Rules for Managing IT at a Startup;2
 134685;Ask YC: The value of internships?;8
 134691;9 principles of innovation from Google;12
 134805;ratemycop.com: New Website Has Police Furious;2
 134957;I will try again tomorrow;1
 134573;Static vs 'dynamic typing', part 2: The personality-factor.;2
 134709;The World You Created;1
 134764;Physics, Topology, Logic and Computation: a Rosetta Stone;7
 134542;Ask YC: What do you think of Apple's SDK vs. Open Tool Chain from a business perspective?;2
 134581;RadicalBuy has launched a new widget to help sell your items off of Facebook;1
 134594;Develop a Firefox 3 Add-On, Get a Free T-Shirt;2
 134760;Ask YC: How many of you have Blogs?;3
 134791;Follow up to YC Designers, Can You List More?;1
 134557;7 Universities and Websites Offering Free Business Entrepreneurship Courses Online;4
 134578;Assume all new email is useless;5
 134579;7 rules of UI design;4
 134688;How do you feel about forward metablogging? (A question of mareketing and usability);1
 134752;Web Conferences: Where's the outrage?;15
 134775;A New Venture Animal;1
 134776;How would you make this better?;1
 134787;Ask YC:  Do you feel bad when some users spend way too much time on your site?;5
 134574;The thing about 'free';2
 134575;A Python cheat sheet for those of us who do;35
 134583;Coding around the Campfire;2
 134693;Venture capital spreads the wealth around the country. ;2
 134819;Streamlined meteorite hit Peru fast and hard last September;1
 134824;Dungeon Master: The Life and Legacy of Gary Gygax;4
 134958;Is YouTube Rolling Out Higher Quality Video Tomorrow?;1
 134960;Tech’s Late Adopters Prefer the Tried and True;2
 134659;My antisocial version of social bookmarking, feedback welcome;3
 134700;Is $20K worth of development worth 1% of company?;1
 134831;6 Websites That Will Certainly Make You Smarter;1
 134937;More woes for Wikipedia's Jimmy Wales - articles being rewritten for donations;3
 134703;Who do the Y Combinator companies go to for design?;36
 134740;Mathematicians Model Social Voting — What Scheme Works Best?;14
 134778;Google-DoubleClick may bode well for Microsoft-Yahoo deal;1
 134786;Think Looking for Coding and Marketing Interns;2
 134808;Are you on twitter?;18
 134837;Six Sigma: Hardware Si, Software No!;1
 134839;Guilt-free Dating For Single Parents;2
 134843;The Google Enigma;1
 134880;Hacker News Over AIM HackerNewsYC buddy;3
 134661;Women 2.0 Business Plan Competition - Deadline to Submit April 1, 2008;4
 134983;GoDaddy Silences Police-Watchdog Site RateMyCop.com;4
 134993;What business or strategy books do you read to keep you on course;3
 135106;YouTube expands API;4
 135107;Good Software Takes Ten Years. Get Used To it.;37
 135114;Seed capitalism;21
 135115;Interview with Guy Kawasaki;1
 135241;Apple Technology - Information, Review and Discussion About Apple Technology;5
 134677;Notes on “Predictably Irrational” by Dan Ariely;3
 134680;IS-A IS-A HAS-A;7
 134708;Founder salaries after an acquisition: how much? ;31
 134859;The Unavailable Path;1
 134953;Official: AOL On The Table For A Deal;3
 134810;Viacom can't seek punitive damages from Google;1
 134821;An Enduring Measure of Fitness: The Simple Push-Up;3
 135026;Anticlimax: YouTube Announces More Open API’s;1
 135066;Hulu.com to Open Its TV and Film Offerings This Week - New York Times;1
 135308;Too often, there's a wall between a company's IT department and everything else.;4
 134816;Where to next for Zoho?;1
 134935;Video: Google Tech Talks Advanced Topics in Programming Languages;3
 134735;How an information system helped nail Eliot Spitzer and a prostitution ring;8
 134967;Google acquires DoubleClick, reduces headcount;4
 134777;Is it a good idea to incorporate your startup in a tax haven country?;14
 134813;TIOBE Programming language popularity;5
 134814;Wal-Mart drops $200 Linux PC--lack of interest;1
 134918;Thoughts on Primary Elections;4
 134923;Even Outside of Silicon Valley, Venture Capital Is Growing;4
 135057;Redundant Widget Of The Week: ClockLink.Com;1
 135214;YouTube: The Platform;2
 134845;Hacker News Integrates with iPaper;30
 134905;69 Techie Uses for Duct Tape;3
 134951;Yahoo In Discussions To Join Google OpenSocial;4
 135010;Apple's design process;1
 135028;P2P Next is getting funding from Europe to devlop new...;3
 134867;Ten Tactics That Could Save Your Online Reputation;2
 134978;A little late...Awesome iUI Video!;8
 135176;Tiny projects keep it new ;41
 135181;The Awesome Highlighter - be nice, highlight;31
 135211;Let's Play "Blame The VC";3
 135384;Ask YC:  Does it make sense to combine ads with interactive puzzles/games to get people's attention?;2
 135092;MyLoki Lets You Tell the World That You Are Here;1
 135174;See Flickr Pictures As They Are Uploaded All Over The World;3
 134939;Ancient Bones of Small Humans Discovered in Palau;5
 135227;Television Will Rot Your Brain (a math problem);4
 135234;Free Sofware Download;5
 135238;Ask YC: What's your Advice on Performing Market Analysis for a Startup?;24
 135239;Hijacking Open ID-Enabled Accounts;3
 135514;Nerve-tapping neckband allows 'telepathic' chat;1
 134934;Algorithmic architecture [video];3
 135058;David Mamet: Why I Am No Longer a 'Brain-Dead Liberal';6
 135071;Modept Mobile Application Provisioning Platform;1
 135091;Yahoo Plans to Join OpenSocial Alliance?;1
 135252;3rr0rists;3
 135260;Ask News.YC: Recommendations for landing page optimization software;4
 135261;Bill Gates Asks Congress to Act Now to Maintain U.S. Innovation Lead;1
 135316;Inside Wall Street's Black Hole - what if Black Scholes pricing model is wrong?;5
 135317;Secreto Postal;1
 135318;Ask HN: Consulting on the side;5
 135034;The Geometry of Music;9
 135075;Term Paper;1
 135078;Will tomorrow's world still need designers?;2
 135120;Audiko does free ringtones for the iPhone;1
 135175;Joost: We Still Matter!;1
 135208;Apple's design process;10
